epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49286,3.13887,1.54779,0.78444,3.76922,2.70739,0.67972,0.35526,0.50241,0.1347,0.82155,0.42105,0.6967,0.47467,2.60107,0.75654,0.73093,2.18034,2.21531,0.00012,0.00012,0.00012
2,3.02987,2.25429,1.41014,0.71225,1.56132,1.85092,0.92393,0.73684,0.85875,0.38666,0.88154,0.84211,0.9353,0.83318,1.78756,0.74848,0.72464,1.21199,1.51758,0.000257426,0.000257426,0.000257426
3,3.56387,1.86252,0.81645,0.66307,1.25094,1.53861,0.84714,0.80263,0.81619,0.2626,0.92255,0.94041,0.98026,0.89198,2.24429,0.68767,0.72052,1.5965,1.77583,0.00039208,0.00039208,0.00039208
4,4.0836,1.56522,0.75342,0.63404,1.03691,1.39822,0.97015,0.98684,0.99148,0.62983,0.97015,0.98684,0.99148,0.87208,1.20577,0.59653,0.70145,1.19422,1.28203,0.000523962,0.000523962,0.000523962
5,4.60313,1.23733,0.58614,0.56423,0.8096,1.21348,0.98104,0.98684,0.99462,0.67374,0.98104,0.98684,0.99462,0.88121,1.01723,0.57736,0.67231,1.30432,1.17264,0.000653072,0.000653072,0.000653072
6,5.10492,1.3448,0.60805,0.52685,0.81775,1.23294,1,0.98569,0.99405,0.62208,1,0.98569,0.99405,0.86499,1.17825,0.58103,0.63658,1.40068,1.31089,0.00077941,0.00077941,0.00077941
7,5.58666,1.21763,0.53009,0.5089,0.82658,1.22219,0.99653,0.98684,0.99487,0.67016,0.99653,0.98684,0.99487,0.87962,1.09689,0.58546,0.60719,1.74105,1.2432,0.000902976,0.000902976,0.000902976
8,6.07098,1.23322,0.54128,0.49825,0.83474,1.19972,0.99824,1,0.995,0.66928,0.99824,1,0.995,0.8853,1.10296,0.49424,0.51578,0.92134,1.27194,0.00102377,0.00102377,0.00102377
9,6.55242,1.11802,0.4977,0.45146,0.75069,1.11992,0.99737,1,0.995,0.69655,0.99737,1,0.995,0.89791,1.03594,0.46885,0.4637,0.79481,1.24621,0.00114179,0.00114179,0.00114179
10,7.04136,1.17813,0.47712,0.38921,0.77074,1.18698,0.99688,1,0.995,0.72776,0.99688,1,0.995,0.90848,1.09577,0.46682,0.40497,1.21403,1.34521,0.00125704,0.00125704,0.00125704
11,7.53786,1.06893,0.42958,0.33778,0.68382,1.13653,0.9849,1,0.995,0.66402,0.9849,1,0.995,0.89592,1.06391,0.45442,0.30459,0.97912,1.2277,0.00136952,0.00136952,0.00136952
12,8.01442,1.1924,0.46172,0.30984,0.76893,1.21351,0.99791,1,0.995,0.63733,0.99791,1,0.995,0.89625,1.31373,0.44841,0.24793,1.40145,1.4467,0.00147923,0.00147923,0.00147923
13,8.48861,1.19622,0.44881,0.30264,0.86489,1.19162,0.99846,1,0.995,0.68773,0.99846,1,0.995,0.88943,1.14313,0.45286,0.18473,1.10432,1.30594,0.00158616,0.00158616,0.00158616
14,8.95879,1.03521,0.42417,0.24127,0.64262,1.11369,0.99846,1,0.995,0.68773,0.99846,1,0.995,0.88943,1.14313,0.45286,0.18473,1.10432,1.30594,0.00169032,0.00169032,0.00169032
15,9.43126,1.38512,0.42385,0.271,0.83685,1.29208,0.99873,1,0.995,0.70127,0.99873,1,0.995,0.9029,1.07689,0.44265,0.13423,0.6341,1.26736,0.0017228,0.0017228,0.0017228
16,9.9075,1.21812,0.41176,0.19793,0.77184,1.22087,0.99868,1,0.995,0.6939,0.99868,1,0.995,0.91213,1.13393,0.43562,0.10123,0.56293,1.28385,0.001703,0.001703,0.001703
17,10.3864,1.19301,0.41061,0.21702,0.76329,1.19211,0.9982,1,0.995,0.62929,0.9982,1,0.995,0.90722,1.23419,0.44858,0.0779,0.80973,1.35392,0.0016832,0.0016832,0.0016832
18,10.8682,1.12445,0.42529,0.19681,0.69928,1.14177,0.99734,1,0.995,0.6776,0.99734,1,0.995,0.88319,1.06605,0.46626,0.05765,0.97493,1.2447,0.0016634,0.0016634,0.0016634
19,11.3605,1.15426,0.38864,0.23433,0.78977,1.21512,0.99776,1,0.995,0.6406,0.99776,1,0.995,0.87367,1.0945,0.45285,0.04406,0.761,1.25954,0.0016436,0.0016436,0.0016436
20,11.867,1.16368,0.38172,0.22915,0.72046,1.20317,0.99865,1,0.995,0.66285,0.99865,1,0.995,0.88217,1.04115,0.43518,0.0385,0.69074,1.21354,0.0016238,0.0016238,0.0016238
21,12.3734,1.07692,0.38164,0.18115,0.70616,1.16813,0.99769,1,0.995,0.73477,0.99769,1,0.995,0.90179,0.92622,0.419,0.0322,0.75029,1.10527,0.001604,0.001604,0.001604
22,12.8672,1.08839,0.40542,0.16789,0.66577,1.14623,0.99769,1,0.995,0.73477,0.99769,1,0.995,0.90179,0.92622,0.419,0.0322,0.75029,1.10527,0.0015842,0.0015842,0.0015842
23,13.3663,1.05688,0.37805,0.18106,0.65,1.1228,0.99684,1,0.995,0.71973,0.99684,1,0.995,0.91443,0.95758,0.40441,0.02854,0.82121,1.12219,0.0015644,0.0015644,0.0015644
24,13.8565,0.95186,0.37759,0.20624,0.5972,1.09509,0.99811,1,0.995,0.75805,0.99811,1,0.995,0.91568,0.89617,0.4005,0.02545,0.64502,1.10897,0.0015446,0.0015446,0.0015446
25,14.3566,0.94286,0.36962,0.15226,0.54959,1.06629,0.99912,1,0.995,0.73526,0.99912,1,0.995,0.91076,0.90558,0.4126,0.02294,0.53355,1.10117,0.0015248,0.0015248,0.0015248
26,14.8379,0.98777,0.39208,0.16947,0.59112,1.102,0.99905,1,0.995,0.7329,0.99905,1,0.995,0.90248,0.87805,0.41328,0.02013,0.52314,1.06008,0.001505,0.001505,0.001505
27,15.3298,0.96843,0.37768,0.14334,0.5918,1.07185,0.9991,1,0.995,0.75556,0.9991,1,0.995,0.90721,0.84327,0.40065,0.01779,0.52105,1.04756,0.0014852,0.0014852,0.0014852
28,15.8157,0.90373,0.37442,0.1287,0.57215,1.05286,0.99919,1,0.995,0.72553,0.99919,1,0.995,0.90955,0.88275,0.39243,0.01545,0.57737,1.09976,0.0014654,0.0014654,0.0014654
29,16.3056,0.90159,0.38641,0.14003,0.5379,1.06454,0.99921,1,0.995,0.77072,0.99921,1,0.995,0.91762,0.82261,0.38649,0.01484,0.57735,1.05015,0.0014456,0.0014456,0.0014456
30,16.7943,0.80656,0.33962,0.13907,0.53035,1.00475,0.99921,1,0.995,0.77072,0.99921,1,0.995,0.91762,0.82261,0.38649,0.01484,0.57735,1.05015,0.0014258,0.0014258,0.0014258
31,17.2902,0.87101,0.36579,0.11853,0.55117,1.05808,0.9992,1,0.995,0.7784,0.9992,1,0.995,0.92235,0.80822,0.38582,0.01486,0.49902,1.02062,0.001406,0.001406,0.001406
32,17.7864,0.88673,0.37175,0.11851,0.52075,1.04343,0.99913,1,0.995,0.7575,0.99913,1,0.995,0.92824,0.82307,0.3814,0.01529,0.46453,1.04633,0.0013862,0.0013862,0.0013862
33,18.2824,0.89274,0.34401,0.11882,0.53936,1.06962,0.99905,1,0.995,0.67902,0.99905,1,0.995,0.93422,0.9968,0.37587,0.01482,0.48988,1.17565,0.0013664,0.0013664,0.0013664
34,18.767,0.86908,0.35615,0.13357,0.52606,1.02957,0.99906,1,0.995,0.76215,0.99906,1,0.995,0.9257,0.81452,0.37145,0.01454,0.44953,1.05329,0.0013466,0.0013466,0.0013466
35,19.2591,0.79066,0.34132,0.13545,0.49898,1.0042,0.99909,1,0.995,0.79279,0.99909,1,0.995,0.91902,0.77522,0.36988,0.01268,0.43124,1.00778,0.0013268,0.0013268,0.0013268
36,19.759,0.80906,0.35453,0.09057,0.4829,1.03622,0.99917,1,0.995,0.80014,0.99917,1,0.995,0.90731,0.75387,0.37095,0.01304,0.43905,1.00424,0.001307,0.001307,0.001307
37,20.2451,0.78176,0.36171,0.11212,0.50032,0.97424,0.99917,1,0.995,0.77391,0.99917,1,0.995,0.90677,0.77853,0.36716,0.01336,0.45336,1.0259,0.0012872,0.0012872,0.0012872
38,20.7261,0.78375,0.33687,0.11282,0.50942,1.02993,0.99917,1,0.995,0.77391,0.99917,1,0.995,0.90677,0.77853,0.36716,0.01336,0.45336,1.0259,0.0012674,0.0012674,0.0012674
39,21.2088,0.78468,0.36921,0.12729,0.49612,1.00347,0.99905,1,0.995,0.77963,0.99905,1,0.995,0.91183,0.72704,0.36097,0.01146,0.436,0.99839,0.0012476,0.0012476,0.0012476
40,21.7191,0.81459,0.32386,0.11228,0.50862,1.03165,0.99894,1,0.995,0.7872,0.99894,1,0.995,0.92683,0.758,0.36014,0.00954,0.42248,1.01538,0.0012278,0.0012278,0.0012278
41,22.2304,0.78092,0.32078,0.10904,0.49449,1.0162,0.99893,1,0.995,0.80512,0.99893,1,0.995,0.92693,0.69122,0.36278,0.00927,0.39357,0.97656,0.001208,0.001208,0.001208
42,22.7255,0.81733,0.33561,0.11768,0.47004,1.02746,0.99901,1,0.995,0.75621,0.99901,1,0.995,0.9353,0.92742,0.35547,0.01065,0.43111,1.05514,0.0011882,0.0011882,0.0011882
43,23.2222,0.8699,0.33107,0.10843,0.47631,1.03544,0.99907,1,0.995,0.73971,0.99907,1,0.995,0.93572,0.94982,0.35191,0.0112,0.45287,1.07485,0.0011684,0.0011684,0.0011684
44,23.7177,0.80786,0.32993,0.12127,0.4758,0.96853,0.99905,1,0.995,0.77657,0.99905,1,0.995,0.93673,0.78613,0.35352,0.01061,0.43955,1.01854,0.0011486,0.0011486,0.0011486
45,24.2108,0.80267,0.32439,0.11488,0.48507,0.99722,0.99899,1,0.995,0.79722,0.99899,1,0.995,0.92841,0.75542,0.35749,0.01004,0.42529,0.99435,0.0011288,0.0011288,0.0011288
46,24.6975,0.82689,0.31681,0.11097,0.50358,0.98818,0.99899,1,0.995,0.79722,0.99899,1,0.995,0.92841,0.75542,0.35749,0.01004,0.42529,0.99435,0.001109,0.001109,0.001109
47,25.1874,0.73654,0.31416,0.09957,0.4533,0.98752,0.99899,1,0.995,0.73098,0.99899,1,0.995,0.92725,0.9529,0.35521,0.01085,0.45138,1.07225,0.0010892,0.0010892,0.0010892
48,25.6875,0.81389,0.31218,0.14481,0.51503,1.00076,0.99898,1,0.995,0.77056,0.99898,1,0.995,0.92844,0.8512,0.3461,0.01047,0.42708,1.0256,0.0010694,0.0010694,0.0010694
49,26.1783,0.76152,0.31823,0.12172,0.45954,0.98781,0.99895,1,0.995,0.82054,0.99895,1,0.995,0.93422,0.64962,0.33933,0.00924,0.39508,0.95593,0.0010496,0.0010496,0.0010496
50,26.6821,0.74253,0.32088,0.10853,0.45522,0.95862,0.99902,1,0.995,0.83233,0.99902,1,0.995,0.93837,0.65009,0.33368,0.00863,0.39074,0.95287,0.0010298,0.0010298,0.0010298
51,27.1827,0.71845,0.28553,0.09626,0.44427,0.98719,0.99904,1,0.995,0.78668,0.99904,1,0.995,0.94987,0.83745,0.33083,0.00851,0.40982,1.01278,0.00101,0.00101,0.00101
52,27.67,0.80048,0.32327,0.14302,0.48267,1.04642,0.99908,1,0.995,0.77918,0.99908,1,0.995,0.94429,0.83926,0.32497,0.00816,0.40749,1.01436,0.0009902,0.0009902,0.0009902
53,28.1638,0.78018,0.3033,0.09509,0.45242,0.98105,0.99908,1,0.995,0.81982,0.99908,1,0.995,0.93932,0.67115,0.31888,0.00817,0.36634,0.95551,0.0009704,0.0009704,0.0009704
54,28.6484,0.64467,0.2861,0.08945,0.40569,0.92777,0.99908,1,0.995,0.81982,0.99908,1,0.995,0.93932,0.67115,0.31888,0.00817,0.36634,0.95551,0.0009506,0.0009506,0.0009506
55,29.1686,0.66048,0.32933,0.11048,0.41894,0.95254,0.99911,1,0.995,0.82213,0.99911,1,0.995,0.93068,0.65981,0.31547,0.00912,0.36142,0.96343,0.0009308,0.0009308,0.0009308
56,29.6562,0.66583,0.29985,0.08621,0.40403,0.92373,0.99911,1,0.995,0.83388,0.99911,1,0.995,0.92943,0.65785,0.31412,0.00952,0.36672,0.95347,0.000911,0.000911,0.000911
57,30.1451,0.65223,0.28845,0.09484,0.40643,0.94221,0.9991,1,0.995,0.81939,0.9991,1,0.995,0.93364,0.70717,0.3075,0.00832,0.36888,0.96523,0.0008912,0.0008912,0.0008912
